epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
84,6345.5,0.31817,0.35551,0.18147,0.00098,0.05607,0.98678,0.98518,0.99409,0.96552,0.98678,0.98518,0.99409,0.90891,0.32211,0.43436,0.23366,0.00119,0,0.0001783,0.0001783,0.0001783
85,6418.28,0.30875,0.37076,0.17589,0.00115,0.03961,0.98653,0.98915,0.99409,0.96221,0.98653,0.98915,0.99409,0.90988,0.30936,0.43286,0.2511,0.00109,0,0.0001684,0.0001684,0.0001684
86,6488.95,0.3245,0.37535,0.19083,0.00094,0.05337,0.98435,0.98997,0.99409,0.96699,0.98435,0.98997,0.99409,0.90689,0.31118,0.42853,0.2187,0.0011,0,0.0001585,0.0001585,0.0001585
87,6559.29,0.30341,0.34738,0.19022,0.00088,0.04311,0.9877,0.98734,0.99406,0.97262,0.9877,0.98734,0.99406,0.90655,0.32006,0.43025,0.23368,0.00115,0,0.0001486,0.0001486,0.0001486
88,6629.9,0.28042,0.33688,0.17484,0.00083,0.03538,0.99236,0.98853,0.99442,0.97052,0.99236,0.98853,0.99442,0.90758,0.2939,0.43156,0.16564,0.00105,0,0.0001387,0.0001387,0.0001387
89,6699.9,0.30734,0.34085,0.17506,0.00088,0.05875,0.98778,0.98777,0.99397,0.97238,0.98778,0.98777,0.99397,0.90478,0.29818,0.43734,0.20517,0.00104,0,0.0001288,0.0001288,0.0001288
90,6769.74,0.29154,0.34909,0.17016,0.00084,0.05434,0.98457,0.9883,0.99378,0.96556,0.98457,0.9883,0.99378,0.90496,0.30248,0.44022,0.20515,0.00106,0,0.0001189,0.0001189,0.0001189
91,6855.76,0.24292,0.30457,0.14256,0.00083,0.02665,0.9854,0.98771,0.99337,0.96535,0.9854,0.98771,0.99337,0.90502,0.30127,0.44464,0.2622,0.00105,0,0.000109,0.000109,0.000109
92,6924.93,0.24235,0.31532,0.14178,0.00085,0.02641,0.98726,0.98381,0.99356,0.96821,0.98726,0.98381,0.99356,0.9051,0.29522,0.44203,0.24848,0.00104,0,9.91e-05,9.91e-05,9.91e-05
93,6995.68,0.23652,0.28481,0.13973,0.00081,0.03099,0.98608,0.98765,0.99367,0.96627,0.98608,0.98765,0.99367,0.90519,0.2924,0.43904,0.24074,0.00104,0,8.92e-05,8.92e-05,8.92e-05
94,7065.75,0.23874,0.35219,0.1319,0.00081,0.02371,0.98106,0.99206,0.99353,0.96962,0.98106,0.99206,0.99353,0.90815,0.2904,0.43044,0.24228,0.00102,0,7.93e-05,7.93e-05,7.93e-05
95,7135.86,0.23107,0.29915,0.12761,0.00076,0.0241,0.98725,0.9845,0.99344,0.96712,0.98725,0.9845,0.99344,0.90971,0.28667,0.42734,0.25771,0.001,0,6.94e-05,6.94e-05,6.94e-05
96,7205.95,0.23408,0.28336,0.13173,0.00077,0.02775,0.98785,0.98323,0.99366,0.97043,0.98785,0.98323,0.99366,0.90731,0.28478,0.42621,0.23663,0.00099,0,5.95e-05,5.95e-05,5.95e-05
97,7276.73,0.22121,0.29214,0.12677,0.00073,0.02647,0.98579,0.98775,0.99353,0.97311,0.98579,0.98775,0.99353,0.90571,0.28403,0.42608,0.25194,0.00099,0,4.96e-05,4.96e-05,4.96e-05
98,7348.5,0.23203,0.32453,0.12731,0.00075,0.02456,0.98775,0.9844,0.99359,0.97368,0.98775,0.9844,0.99359,0.90467,0.28604,0.42863,0.24486,0.00099,0,3.97e-05,3.97e-05,3.97e-05
99,7418.28,0.22362,0.37372,0.11333,0.00075,0.02565,0.98787,0.98325,0.99359,0.97112,0.98787,0.98325,0.99359,0.90481,0.2898,0.42879,0.25175,0.001,0,2.98e-05,2.98e-05,2.98e-05
100,7489.39,0.22019,0.33917,0.13478,0.00073,0.02534,0.98437,0.98759,0.99316,0.96718,0.98437,0.98759,0.99316,0.9046,0.29268,0.42724,0.26261,0.001,0,1.99e-05,1.99e-05,1.99e-05
